is_happened|flood_cause_en|date|location|death|evacuation|country|link|published_date
Yes|Heavy rains|2024-07|Sinuiju, Uiju|Unknown|Yes|North Korea|https://www.thestar.com/news/world/asia/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary/article_bb2d32a4-d826-506e-acc6-18e1ccea2423.html|2024-08-10T07:31:37Z
Yes|Tropical Storm Debby|2024-08|New York, Pennsylvania, Ohio, Vermont|Yes|Yes|USA|https://www.thespec.com/life/debby-finally-moves-out-of-the-us-though-risk-from-flooded-rivers-remains/article_265a68bc-dd2d-5ef6-b886-125f5edb4449.html|2024-08-10T07:23:12Z
Yes|heavy rain|Unknown|Greater Montreal area, Highway 13, Highway 40, Chomedey, Félix-Leclerc, de la Côte-Vertu Boulevard, Longueuil, Taschereau Boulevard, R-132, Saint-Charles Street, Jacques-Cartier Bridge, Papineau Avenue, Henri-Bourassa, Gouin boulevards, downtown Montreal, Laval, Tunnel de Liesse, A-19, A-520|Unknown|Unknown|Canada|https://montreal.ctvnews.ca/live-updates-as-heavy-rain-causes-flooding-across-montreal-1.6994706|2024-08-10T05:23:43Z
Yes|heavy rains|Unknown|Sinuiju, Uiju|Unknown|Yes|North Korea|https://toronto.citynews.ca/2024/08/10/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary-care/|2024-08-10T04:18:56Z
Yes|Remnants of Tropical Storm Debby|Unknown|New York, Pennsylvania, Vermont, Maryland, South Carolina, Georgia|Yes|Yes|USA|https://www.thestar.com/news/world/united-states/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania/article_28c5d507-d456-50dd-8d40-86e36fcdf980.html|2024-08-09T23:14:15Z
No|NA|NA|NA|NA|NA|NA|https://montreal.citynews.ca/video/2024/08/09/heavy-rain-floods-montreal-homes/|2024-08-09T22:45:08Z
Yes|heavy rain from the remnants of Debby|Unknown|New York, Pennsylvania, Vermont, Maryland, South Carolina, Georgia|Yes|Yes|USA|https://www.lakelandtoday.ca/environment-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329473|2024-08-09T22:11:26Z
Yes|heavy rains and flash flooding from the remnants of Debby|Unknown|Lyndon, Vermont, Annapolis, Maryland, Moncks Corner, South Carolina, Charleston, Berkeley County, Cane Bay, Haw River, North Carolina, Raleigh, Browns Summit, Lucama, North Carolina, Springfield, Fayetteville, Bladenboro, North Carolina|Yes|Yes|USA|https://www.lakelandtoday.ca/world-news/debby-bringing-heavy-rain-flooding-and-possible-tornadoes-northeast-into-the-weekend-9329872|2024-08-09T21:58:08Z
Yes|heavy rain|2024-07|Burlington|Unknown|Unknown|Unknown|https://halton.insauga.com/curled-up-in-balls-overwhelmed-burlington-residents-tell-city-staff-the-current-standard-for-flood-relief-isnt-enough/|2024-08-09T21:25:13Z
Yes|Heavy rain and flooding as rivers overflow their banks|Unknown|East Coast, New York, Pennsylvania, South Carolina, North Carolina, Vermont, Atlantic Ave, Sullivans Island, Interstate 95, Steuben County, Campbell, Cohocton River, Addison, Canisteo, Jasper, Woodhull, Pennsylvania, Cleveland, New York, Annapolis, Maryland, North Carolina, Haw River, Raleigh, Berkeley County, Moncks Corner, Charleston, Rockingham County, Browns Summit, Georgia, Ogeechee River, Savannah, Effingham County, Chatham County|Yes|Yes|USA|https://www.thestar.com/news/world/united-states/the-latest-a-downgraded-debby-still-threatens-the-east-coast-with-heavy-rain-and-flooding/article_bf8b4716-7ee4-5db4-b8b6-110a63a5645f.html|2024-08-09T21:21:54Z
Yes|Remnants of tropical storm Debby|Unknown|Ottawa, Cornwall, Quebec City, Gatineau, Kanata Lakes, Mississippi Mills, East Hawkesbury, Alexandria, Kinburn, Summerstown|Unknown|Unknown|Canada|https://ottawa.ctvnews.ca/remnants-of-debby-move-across-ottawa-eastern-ontario-prompting-flood-risks-1.6994559|2024-08-09T20:58:45Z
Oui|Les vestiges de l'ouragan Debby|2024-08|Montréal, Lanaudière, Laurentides, La Macaza, Rivière-Rouge, Saint-Calixte, Sainte-Julienne, Québec|Non|Oui|Canada|https://www.journaldemontreal.com/2024/08/09/inhabituelle-et-plutot-rare-plusieurs-records-de-pluie-bientot-battus-dans-le-grand-montreal|2024-08-10T04:25:58Z
Non|NA|NA|NA|NA|NA|NA|https://villesaintraymond.com/actualites/avertissement-sur-les-previsions-de-fortes-pluies|2024-08-10T04:17:27Z
Oui|Pluies torrentielles|Vendredi|Montréal, Lanaudière, Laurentides, Montérégie, Québec|NA|NA|Canada|https://www.lequotidien.com/actualites/2024/08/09/les-vestiges-de-emdebbyem-apportent-des-quantites-significatives-de-pluie-au-quebec-73EY32LHOBFC5ECVPSI4M5EGUM/|2024-08-10T04:00:11Z
Oui|Une dépression combinée avec les vestiges de la tempête tropicale Debby|2024-08-09|Gatineau, Hawkesbury, Outaouais, Saint-Jean-Sur-Richelieu|Non|Non|Canada|https://www.fm1047.ca/nouvelles/640834/pluies-abondantes-a-gatineau-des-residents-s-inquietent|2024-08-10T03:56:09Z
Oui|Pluies abondantes|Inconnu|Les Hautes-Laurentides, notamment Kiamika, Nominingue, Rivière-Rouge, Notre-Dame-de-Pontmain, La Macaza, LAscension, Notre-Dame-du-Laus|Inconnu|Oui|Canada|https://infodelalievre.ca/actualites/2024/08/09/les-hautes-laurentides-durement-touchees/|2024-08-10T03:12:25Z
Oui|Inconnu|2024-08-09|Vaudreuil-Soulanges, Rue des Dahlias, 26e avenue à Saint-Zotique|Non|Non|Canada|https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/communaute-vs/vaudreuil-soulanges-touchee-par-les-inondations-pluviales/|2024-08-10T02:51:52Z
Oui|Les précipitations|2024-08-09|Le chemin de la Montagne, le secteur Hull-Aylmer, le chemin Caron à Notre-Dame-De-Pontmain, le chemin privé de la rue Rollin à Val-Des-Monts, le chemin de Chambord, le boulevard St-René, le boulevard Labrosse|Non|Non|Canada|https://www.fm1047.ca/nouvelles/640863/les-ruisseaux-debordent-a-certains-endroits|2024-08-10T02:20:55Z
